Date,AAPL,MSFT,GOOGL,AMZN,TSLA
2025-01-02,242.3019256591797,414.568603515625,188.55825805664062,220.22000122070312,379.2799987792969
2025-01-03,241.8150177001953,419.2929382324219,190.9073944091797,224.19000244140625,410.44000244140625
2025-01-06,243.4446258544922,423.7497253417969,195.96401977539062,227.61000061035156,411.04998779296875
2025-01-07,240.67234802246094,418.3222961425781,194.5903778076172,222.11000061035156,394.3599853515625
2025-01-08,241.1592254638672,420.4913024902344,193.05746459960938,222.1300048828125,394.94000244140625
2025-01-10,235.3463592529297,414.93505859375,191.15625,218.94000244140625,394.739990234375
2025-01-13,232.9119110107422,413.19195556640625,190.13099670410156,218.4600067138672,403.30999755859375
2025-01-14,231.7990264892578,411.6864929199219,188.78721618652344,217.75999450683594,396.3599853515625
2025-01-15,236.35989379882812,422.2245178222656,194.65011596679688,223.35000610351562,428.2200012207031
2025-01-16,226.81088256835938,420.5110778808594,192.02223205566406,220.66000366210938,413.82000732421875
2025-01-17,228.5199737548828,424.9184265136719,195.09805297851562,225.94000244140625,426.5
2025-01-21,221.22657775878906,424.3935546875,197.13861083984375,230.7100067138672,424.07000732421875
2025-01-22,222.40902709960938,441.92388916015625,197.45712280273438,235.00999450683594,415.1099853515625
2025-01-23,222.24008178710938,442.42901611328125,197.0689239501953,235.4199981689453,412.3800048828125
2025-01-24,221.3656768798828,439.8044128417969,199.2886505126953,234.85000610351562,406.5799865722656
2025-01-27,228.40074157714844,430.39544677734375,190.9273223876953,235.4199981689453,397.1499938964844
2025-01-28,236.74740600585938,442.91436767578125,194.4012451171875,238.14999389648438,398.0899963378906
2025-01-29,237.8404083251953,438.09100341796875,194.5107421875,237.07000732421875,389.1000061035156
2025-01-30,236.08164978027344,411.0129699707031,199.9456329345703,234.63999938964844,400.2799987792969
2025-01-31,234.50173950195312,411.0823059082031,203.0811309814453,237.67999267578125,404.6000061035156
2025-02-03,226.56246948242188,406.98199462890625,200.303955078125,237.4199981689453,383.67999267578125
2025-02-04,231.32208251953125,408.4181213378906,205.43028259277344,242.05999755859375,392.2099914550781
2025-02-05,230.99417114257812,409.32928466796875,190.4495391845703,236.1699981689453,378.1700134277344
2025-02-06,231.7394256591797,411.8350830078125,190.71829223632812,238.8300018310547,374.32000732421875
2025-02-07,226.1848907470703,405.8232116699219,184.487060546875,229.14999389648438,361.6199951171875
2025-02-10,226.45346069335938,408.2695617675781,185.6118927001953,233.13999938964844,350.7300109863281
2025-02-11,231.39732360839844,407.4970397949219,184.46717834472656,232.75999450683594,328.5
2025-02-12,235.62501525878906,405.1200256347656,182.76502990722656,228.92999267578125,336.510009765625
2025-02-13,240.26052856445312,406.6056823730469,185.2834014892578,230.3699951171875,355.94000244140625
2025-02-14,243.3143768310547,404.5158386230469,184.3776092529297,228.67999267578125,355.8399963378906
2025-02-18,243.18507385253906,405.7142639160156,182.92431640625,226.64999389648438,354.1099853515625
2025-02-19,243.5829620361328,410.79510498046875,184.41741943359375,226.6300048828125,360.55999755859375
2025-02-20,244.5379180908203,412.968505859375,183.71067810058594,222.8800048828125,354.3999938964844
2025-02-21,244.2593994140625,405.108642578125,178.83322143554688,216.5800018310547,337.79998779296875
2025-02-24,245.80125427246094,400.9306335449219,178.42510986328125,212.7100067138672,330.5299987792969
2025-02-25,245.74156188964844,394.876953125,174.61273193359375,212.8000030517578,302.79998779296875
2025-02-26,239.09666442871094,396.6930847167969,171.93511962890625,214.35000610351562,290.79998779296875
2025-02-27,236.05276489257812,389.5477600097656,167.72457885742188,208.74000549316406,281.95001220703125
2025-02-28,240.5688934326172,393.973876953125,169.4963836669922,212.27999877929688,292.9800109863281
2025-03-03,236.77890014648438,385.5384521484375,166.24143981933594,205.02000427246094,284.6499938964844
2025-03-04,234.68994140625,385.65753173828125,170.13345336914062,203.8000030517578,272.0400085449219
2025-03-05,234.50094604492188,397.9732666015625,172.22378540039062,208.36000061035156,279.1000061035156
2025-03-06,234.09310913085938,393.8746337890625,171.556884765625,200.6999969482422,263.45001220703125
2025-03-07,237.81346130371094,390.3218688964844,173.05992126464844,199.25,262.6700134277344
2025-03-10,226.28436279296875,377.2717590332031,165.2968292236328,194.5399932861328,222.14999389648438
2025-03-11,219.67926025390625,377.5595703125,163.47314453125,196.58999633789062,230.5800018310547
2025-03-12,215.8395538330078,380.3581237792969,166.5325469970703,198.88999938964844,248.08999633789062
2025-03-13,208.57791137695312,375.8923034667969,162.1975860595703,193.88999938964844,240.67999267578125
2025-03-14,212.36788940429688,385.6079406738281,164.91815185546875,197.9499969482422,249.97999572753906
2025-03-17,212.87521362304688,385.74688720703125,163.7222900390625,195.74000549316406,238.00999450683594
2025-03-18,211.57208251953125,380.6062316894531,160.1147918701172,192.82000732421875,225.30999755859375
2025-03-19,214.1087188720703,384.8735656738281,163.3236846923828,195.5399932861328,235.86000061035156
2025-03-20,212.97470092773438,383.9010314941406,162.23744201660156,194.9499969482422,236.25999450683594
2025-03-21,217.12278747558594,388.2874450683594,163.42333984375,196.2100067138672,248.7100067138672
2025-03-24,219.56983947753906,390.0935974121094,167.1005859375,203.25999450683594,278.3900146484375
2025-03-25,222.573974609375,392.15777587890625,169.9706268310547,205.7100067138672,288.1400146484375
2025-03-26,220.36563110351562,387.0072326660156,164.4896240234375,201.1300048828125,272.05999755859375
2025-03-27,222.67344665527344,387.6125793457031,161.67938232421875,201.36000061035156,273.1300048828125
2025-03-28,216.7547149658203,375.9220886230469,153.79672241210938,192.72000122070312,263.54998779296875
2025-03-31,220.9624786376953,372.53802490234375,154.10565185546875,190.25999450683594,259.1600036621094
2025-04-01,222.0169219970703,379.28631591796875,156.52725219726562,192.1699981689453,268.4599914550781
2025-04-02,222.71324157714844,379.2366943359375,156.49732971191406,196.00999450683594,282.760009765625
2025-04-03,202.12203979492188,370.2752990722656,150.19918823242188,178.41000366210938,267.2799987792969
2025-04-04,187.389892578125,357.1061096191406,145.09689331054688,171.0,239.42999267578125
2025-04-07,180.50625610351562,355.14117431640625,146.24290466308594,175.25999450683594,233.2899932861328
2025-04-08,171.51376342773438,351.86627197265625,144.19998168945312,170.66000366210938,221.86000061035156
2025-04-09,197.8048553466797,387.52325439453125,158.16159057617188,191.10000610351562,272.20001220703125
2025-04-10,189.41915893554688,378.4527282714844,152.2919464111328,181.22000122070312,252.39999389648438
2025-04-11,197.1085205078125,385.498779296875,156.59701538085938,184.8699951171875,252.30999755859375
2025-04-14,201.45553588867188,384.8636474609375,158.52035522460938,182.1199951171875,252.35000610351562
2025-04-15,201.0775604248047,382.7994384765625,155.76986694335938,179.58999633789062,254.11000061035156
2025-04-16,193.24893188476562,368.78668212890625,152.8001708984375,174.3300018310547,241.5500030517578
2025-04-17,195.94467163085938,364.9858093261719,150.63766479492188,172.61000061035156,241.3699951171875
2025-04-21,192.14476013183594,356.3916320800781,147.15972900390625,167.32000732421875,227.5
2025-04-22,198.69017028808594,364.0331115722656,150.94659423828125,173.17999267578125,237.97000122070312
2025-04-23,203.5246124267578,371.5456237792969,154.8131866455078,180.60000610351562,250.74000549316406
2025-04-24,207.27481079101562,384.35748291015625,158.72959899902344,186.5399932861328,259.510009765625
2025-04-25,208.18002319335938,388.8729553222656,161.40036010742188,188.99000549316406,284.95001220703125
2025-04-28,209.03550720214844,388.1882019042969,160.05502319335938,187.6999969482422,285.8800048828125
2025-04-29,210.09988403320312,391.0462951660156,159.60658264160156,187.38999938964844,292.0299987792969
2025-04-30,211.3831024169922,392.2570495605469,158.2512664794922,184.4199981689453,282.1600036621094
2025-05-01,212.19879150390625,422.16802978515625,160.74261474609375,190.1999969482422,280.5199890136719
2025-05-02,204.27069091796875,431.9729919433594,163.4632110595703,189.97999572753906,287.2099914550781
2025-05-05,197.84463500976562,432.85626220703125,163.64259338378906,186.35000610351562,280.260009765625
2025-05-06,197.46661376953125,430.0179138183594,162.66595458984375,185.00999450683594,275.3500061035156
2025-05-07,195.21852111816406,430.0576477050781,150.85691833496094,188.7100067138672,276.2200012207031
2025-05-08,196.45201110839844,434.8410339355469,153.74688720703125,192.0800018310547,284.82000732421875
2025-05-09,197.4865264892578,435.3967590332031,152.22218322753906,193.05999755859375,298.260009765625
2025-05-12,209.95706176757812,445.8467712402344,157.91244506835938,208.63999938964844,318.3800048828125
2025-05-13,212.08859252929688,445.7276916503906,158.97874450683594,211.3699951171875,334.07000732421875
2025-05-14,211.49095153808594,449.4988098144531,164.79855346679688,210.25,347.67999267578125
2025-05-15,210.61444091796875,450.512939453125,163.39344787597656,205.1699981689453,342.82000732421875
2025-05-16,210.42520141601562,451.6463317871094,165.61572265625,205.58999633789062,349.9800109863281
2025-05-19,207.9550018310547,456.2197570800781,165.96450805664062,206.16000366210938,342.0899963378906
2025-05-20,206.04258728027344,455.5238342285156,163.4133758544922,204.07000732421875,343.82000732421875
2025-05-21,201.29144287109375,449.9561767578125,167.9775390625,201.1199951171875,334.6199951171875
2025-05-22,200.5643310546875,452.2329406738281,170.27955627441406,203.10000610351562,341.0400085449219
2025-05-23,194.49838256835938,447.5799560546875,167.8878631591797,200.99000549316406,339.3399963378906
2025-05-27,199.4188690185547,458.0292663574219,172.30255126953125,206.02000427246094,362.8900146484375
2025-05-28,199.62803649902344,454.7184753417969,171.76441955566406,204.72000122070312,356.8999938964844
2025-05-29,199.15988159179688,456.0308837890625,171.26614379882812,205.6999969482422,358.42999267578125
2025-05-30,200.0563507080078,457.7011413574219,171.1465606689453,205.00999450683594,346.4599914550781
2025-06-02,200.90298461914062,459.3018798828125,168.4459228515625,206.64999389648438,342.69000244140625
2025-06-03,202.46678161621094,460.29608154296875,165.60577392578125,205.7100067138672,344.2699890136719
2025-06-04,202.0185546875,461.1908874511719,167.46929931640625,207.22999572753906,332.04998779296875
2025-06-05,199.8372039794922,464.9788818359375,167.62876892089844,207.91000366210938,284.70001220703125
2025-06-06,203.1142120361328,467.663330078125,173.079833984375,213.57000732421875,295.1400146484375
2025-06-09,200.65396118164062,470.0196228027344,175.69395446777344,216.97999572753906,308.5799865722656
2025-06-10,201.869140625,468.2002258300781,178.19833374023438,217.61000061035156,326.0899963378906
2025-06-11,197.9945068359375,469.8903503417969,176.9511260986328,213.1999969482422,326.42999267578125
2025-06-12,198.41285705566406,476.104248046875,175.30484008789062,213.24000549316406,319.1099853515625
2025-06-13,195.6737060546875,472.2168273925781,174.27716064453125,212.10000610351562,325.30999755859375
2025-06-16,197.6359405517578,476.3727111816406,176.3724365234375,216.10000610351562,329.1300048828125
2025-06-17,194.86692810058594,475.279052734375,175.5542755126953,214.82000732421875,316.3500061035156
2025-06-18,195.80319213867188,477.4663391113281,172.93020629882812,212.52000427246094,322.04998779296875
2025-06-20,200.2057647705078,474.64276123046875,166.26522827148438,209.69000244140625,322.1600036621094
2025-06-23,200.70376586914062,483.1930847167969,164.8184814453125,208.47000122070312,348.67999267578125
2025-06-24,199.5084991455078,487.2793273925781,166.3949432373047,212.77000427246094,340.4700012207031
2025-06-25,200.76351928710938,489.4268798828125,170.29612731933594,211.99000549316406,327.54998779296875
2025-06-26,200.2057647705078,494.57696533203125,173.14968872070312,217.1199951171875,325.7799987792969
2025-06-27,200.2854461669922,493.07568359375,178.12847900390625,223.3000030517578,323.6300048828125
2025-06-30,204.3592529296875,494.5372009277344,175.83364868164062,219.38999938964844,317.6600036621094
2025-07-01,206.99879455566406,489.2080993652344,175.44451904296875,220.4600067138672,300.7099914550781
2025-07-02,211.6005401611328,488.2536926269531,178.23822021484375,219.9199981689453,315.6499938964844
2025-07-03,212.70616149902344,495.9589538574219,179.126220703125,223.41000366210938,315.3500061035156
2025-07-07,209.120361328125,494.84539794921875,176.3923797607422,223.47000122070312,293.94000244140625
2025-07-08,209.1801300048828,493.7517395019531,173.9678497314453,219.36000061035156,297.80999755859375
2025-07-09,210.30567932128906,500.6019592285156,176.2227783203125,222.5399932861328,295.8800048828125
2025-07-10,211.57064819335938,498.58367919921875,177.22052001953125,222.25999450683594,309.8699951171875
2025-07-11,210.32559204101562,500.41302490234375,179.7847442626953,225.02000427246094,313.510009765625
2025-07-14,207.79562377929688,500.1147766113281,181.15164184570312,225.69000244140625,316.8999938964844
2025-07-15,208.28369140625,502.89862060546875,181.59068298339844,226.35000610351562,310.7799987792969
2025-07-16,209.3295440673828,502.69976806640625,182.55848693847656,223.19000244140625,321.6700134277344
2025-07-17,209.1901092529297,508.7446594238281,183.1671142578125,223.8800048828125,319.4100036621094
2025-07-18,210.3455047607422,507.1041564941406,184.64378356933594,226.1300048828125,329.6499938964844
2025-07-21,211.64036560058594,507.1141357421875,189.67245483398438,229.3000030517578,328.489990234375
2025-07-22,213.55279541015625,502.3517761230469,190.90966796875,227.47000122070312,332.1099853515625
2025-07-23,213.30377197265625,502.94830322265625,189.8021697998047,228.2899932861328,332.55999755859375
2025-07-24,212.91531372070312,507.9294128417969,191.73780822753906,232.22999572753906,305.29998779296875
2025-07-25,213.03485107421875,510.74310302734375,192.74551391601562,231.44000244140625,316.05999755859375
2025-07-28,213.2041778564453,509.5400390625,192.14688110351562,232.7899932861328,325.5899963378906
2025-07-29,210.43515014648438,509.6096496582031,195.3097381591797,231.00999450683594,321.20001220703125
2025-07-30,208.2239227294922,510.2757568359375,196.08799743652344,230.19000244140625,319.0400085449219
2025-07-31,206.74977111816406,530.4187622070312,191.46839904785156,234.11000061035156,308.2699890136719
2025-08-01,201.58029174804688,521.0829467773438,188.70465087890625,214.75,302.6300048828125
2025-08-04,202.5464630126953,532.54638671875,194.60133361816406,211.64999389648438,309.260009765625
2025-08-05,202.11814880371094,524.701904296875,194.232177734375,213.75,308.7200012207031
2025-08-06,212.40733337402344,521.908203125,195.6489715576172,222.30999755859375,319.9100036621094
2025-08-07,219.16053771972656,517.8318481445312,196.07801818847656,223.1300048828125,322.2699890136719
2025-08-08,228.4437255859375,519.0249633789062,200.9669952392578,222.69000244140625,329.6499938964844
2025-08-11,226.5391082763672,518.7565307617188,200.54794311523438,221.3000030517578,339.0299987792969
2025-08-12,229.0021209716797,526.183349609375,202.88267517089844,221.47000122070312,340.8399963378906
2025-08-13,232.6717529296875,517.5733642578125,201.50579833984375,224.55999755859375,339.3800048828125
2025-08-14,232.12330627441406,519.4623413085938,202.48358154296875,230.97999572753906,335.5799865722656
2025-08-15,230.9366455078125,517.1657104492188,203.44140625,231.02999877929688,330.55999755859375
2025-08-18,230.23861694335938,514.1134033203125,203.04232788085938,231.49000549316406,335.1600036621094
2025-08-19,229.90956115722656,506.8258056640625,201.11668395996094,228.00999450683594,329.30999755859375
2025-08-20,225.3723907470703,502.7991943359375,198.87171936035156,223.80999755859375,323.8999938964844
2025-08-21,224.26551818847656,502.15185546875,199.3007354736328,221.9499969482422,320.1099853515625
2025-08-22,227.11746215820312,505.1295166015625,205.62648010253906,228.83999633789062,340.010009765625
2025-08-25,226.5191650390625,502.17181396484375,208.02110290527344,227.94000244140625,346.6000061035156
2025-08-26,228.6630859375,499.96099853515625,206.6741180419922,228.7100067138672,351.6700134277344
2025-08-27,229.8397674560547,504.6415100097656,207.0133514404297,229.1199951171875,349.6000061035156
2025-08-28,231.9039306640625,507.5295104980469,211.1640167236328,231.60000610351562,345.9800109863281
2025-08-29,231.485107421875,504.59173583984375,212.43115234375,229.0,333.8699951171875
2025-09-02,229.0719451904297,503.0282287597656,210.87466430664062,225.33999633789062,329.3599853515625
2025-09-03,237.79725646972656,503.2572937011719,230.1412353515625,225.99000549316406,334.0899963378906
2025-09-04,239.1035614013672,505.866455078125,231.7775421142578,235.67999267578125,338.5299987792969
2025-09-05,239.0137939453125,492.9501647949219,234.4714813232422,232.3300018310547,350.8399963378906
2025-09-08,237.2089080810547,496.13690185546875,233.72247314453125,235.83999633789062,346.3999938964844
2025-09-09,233.68887329101562,496.3460388183594,239.30491638183594,238.24000549316406,346.9700012207031
2025-09-10,226.1501922607422,498.29791259765625,238.84552001953125,230.3300018310547,347.7900085449219
2025-09-11,229.3810577392578,498.9352722167969,240.0438995361328,229.9499969482422,368.80999755859375
2025-09-12,233.40968322753906,507.7884521484375,240.4733123779297,228.14999389648438,395.94000244140625
2025-09-15,236.0322265625,513.225830078125,251.26864624023438,231.42999267578125,410.0400085449219
2025-09-16,237.4781494140625,506.9320068359375,250.8192596435547,234.0500030517578,421.6199951171875
2025-09-17,238.3157958984375,507.9079284667969,249.19146728515625,231.6199951171875,425.8599853515625
2025-09-18,237.2089080810547,506.3444519042969,251.68807983398438,231.22999572753906,416.8500061035156
2025-09-19,244.8074188232422,515.78515625,254.3744354248047,231.47999572753906,426.07000732421875
2025-09-22,255.35755920410156,512.319580078125,252.18739318847656,227.6300048828125,434.2099914550781
2025-09-23,253.71221923828125,507.1212463378906,251.31858825683594,220.7100067138672,425.8500061035156
2025-09-24,251.59820556640625,508.0373840332031,246.80470275878906,220.2100067138672,442.7900085449219
2025-09-25,256.14532470703125,504.9303283691406,245.45654296875,218.14999389648438,423.3900146484375
